ID,ra,dec,sel,imag,kmag,zspec,Qf,Q,Remarks,fits1d,ascii1d,jpg1d,fits2d
L473528,150.187378,2.019633,256,25.95,25.14,5.5600,1,1.5,"Lya,CII?","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-19.032.Id-782124_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-19.032.Id-782124_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-19.032.Id-782124_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-19.032.Id-782124.fits"">2D Fits spectrum</a>"
L324899,150.187744,1.781861,2,21.81,20.65,0.8099,4,2.0,"[OII],Hg,Hb,[OIII]d",null,null,null,null
L603729,150.187792,2.216167,2,23.23,20.58,1.2170,4,2.0,"[OII]d,H+K","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CSN2.039.GR-30681.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CSN2.039.GR-30681.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CSN2.039.GR-30681.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CSN2.039.GR-30681.fits"">2D Fits spectrum</a>"
L543646,150.187851,2.129050,256,25.68,24.47,5.3820,2,1.0,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-27.026.rd-1018964_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-27.026.rd-1018964_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-27.026.rd-1018964_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-27.026.rd-1018964.fits"">2D Fits spectrum</a>"
L194975,150.188004,1.577164,256,25.60,23.43,0.6770,3,2.0,"H+K,G?","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CLAE-5.011.N8ib-17-13143_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CLAE-5.011.N8ib-17-13143_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CLAE-5.011.N8ib-17-13143_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CLAE-5.011.N8ib-17-13143.fits"">2D Fits spectrum</a>"
L860885,150.188095,2.606369,256,25.74,21.59,1.3780,2,1.5,"[OII],H?","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CLAE-3.041.V-2775_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CLAE-3.041.V-2775_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CLAE-3.041.V-2775_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CLAE-3.041.V-2775.fits"">2D Fits spectrum</a>"
L602661,150.188150,2.215593,1,22.59,22.19,0.7510,4,2.0,"[OII]d,Hb,[OIII]d","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CSN2.039.serendip1.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CSN2.039.serendip1.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CSN2.039.serendip1.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CSN2.039.GR-30681.fits"">2D Fits spectrum</a>"
L780993,150.188167,2.482750,2,22.30,19.74,1.1650,4,2.0,"MgII(abs),H+K","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b0B.003.34275.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b0B.003.34275.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b0B.003.34275.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b0B.003.34275.fits"">2D Fits spectrum</a>"
C999979,150.188208,2.252917,2,27.04,24.09,5.1250,2,1.5,Lya,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.f_cos1.008.999979.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.f_cos1.008.999979.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.f_cos1.008.999979.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.f_cos1.008.999979.fits"">2D Fits spectrum</a>"
L386700,150.188263,1.880275,256,25.75,24.35,null,0,0.0,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-11.047.Vd-556774_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-11.047.Vd-556774_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-11.047.Vd-556774_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-11.047.Vd-556774.fits"">2D Fits spectrum</a>"
null,150.188300,2.215848,1,26.32,null,4.4565,3,2.0,"Lya(skewed), 2nd","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CSN2.039.serendip1.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CSN2.039.serendip1.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CSN2.039.serendip1.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CSN2.039.GR-30681.fits"">2D Fits spectrum</a>"
L838705,150.188324,2.572808,256,25.90,23.85,0.6990,1,1.5,[OIII]?,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CLAE-3.010.N8ib-89-11796_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CLAE-3.010.N8ib-89-11796_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CLAE-3.010.N8ib-89-11796_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CLAE-3.010.N8ib-89-11796.fits"">2D Fits spectrum</a>"
L800244,150.188417,2.511361,32,22.00,20.50,0.6980,4,2.0,"[OII],H+K,[OIII]","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b0B.030.Herschel_717.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b0B.030.Herschel_717.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b0B.030.Herschel_717.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b0B.030.Herschel_717.fits"">2D Fits spectrum</a>"
L410098,150.188492,1.916344,64,24.00,21.47,1.1650,4,2.0,"[OII],[NeIII],H+K","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-15B.066.f103491.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-15B.066.f103491.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-15B.066.f103491.jpg"">1D preview</a>",null
L674103,150.188792,2.321028,160,22.19,20.28,1.0015,4,2.0,"[OII]d,H+K","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b-30C.022.Herschel_818.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b-30C.022.Herschel_818.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b-30C.022.Herschel_818.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b-30C.022.Herschel_818.fits"">2D Fits spectrum</a>"
L632626,150.188792,2.260500,2,26.46,23.70,null,0,0.0,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CSN2.014.UV2-5.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CSN2.014.UV2-5.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CSN2.014.UV2-5.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CSN2.014.UV2-5.fits"">2D Fits spectrum</a>"
L869787,150.188828,2.619517,320,24.64,21.61,1.2016,1,1.5,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CLAE-3.040.V-1073_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.CLAE-3.040.V-1073_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.CLAE-3.040.V-1073_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CLAE-3.040.V-1073.fits"">2D Fits spectrum</a>"
null,150.188875,2.276861,2,19.87,null,0.0000,4,2.0,star,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b0B.006.CCSTAR-15_17.14.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b0B.006.CCSTAR-15_17.14.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b0B.006.CCSTAR-15_17.14.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b0B.006.CCSTAR-15_17.14.fits"">2D Fits spectrum</a>"
null,150.188958,2.210361,2,null,null,0.7505,4,2.0,"[OII]d,[OIII]d 2nd","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b-40.046.Herschel_960.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b-40.046.Herschel_960.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b-40.046.Herschel_960.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b-40.046.Herschel_960.fits"">2D Fits spectrum</a>"
L599248,150.188958,2.210361,32,22.33,20.76,0.7290,4,2.0,"[OII]d,H+K,G,Hb","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b-40.046.Herschel_960.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b-40.046.Herschel_960.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b-40.046.Herschel_960.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b-40.046.Herschel_960.fits"">2D Fits spectrum</a>"
L585816,150.189167,2.190917,2,23.27,21.11,1.1400,4,2.0,"[OII],H+K,G","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.b_cos1.041.899.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.b_cos1.041.899.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.b_cos1.041.899.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.b_cos1.041.899.fits"">2D Fits spectrum</a>"
